Chrom	Start	End	Name
chr18	5046586	5119291	  Svil
chr19	5495277	5510489	  Snx32
chr17	84911234	85021482	  Plekhh2
chr17	4081829	4082995	  4930470H14Rik
chr18	44264176	44268197	  Spink12
chr17	47874879	47929365	  Tfeb
chr17	25864695	25868401	  Rpusd1
chr17	15841930	15909576	  Chd1
chr19	38339271	38383429	  Lgi1
chr18	35426049	35658579	  Sil1
chr17	49754496	50049172	  Kif6
chr17	27070071	27074835	  Phf1
chr18	3507954	3516402	  Bambi
chr17	24856475	24856910	  Snhg9
chr17	57244807	57247180	  Tnfsf9
chr18	47118529	47247649	  Commd10
chr19	58870240	58935474	  Hspa12a
chr19	18654853	18706303	  Ostf1
chr19	45005608	45058277	  Fam178a
chr19	55715078	55776694	  4930552P12Rik
chr17	34976170	34987149	  Skiv2l
chr17	85057573	85082263	  Abcg5
chr18	38487190	38498647	  Gnpda1
chr19	22213606	23064372	  Trpm3
chr19	4839365	4842528	  Ccdc87
chr17	36175353	36179647	  H2-T22
chr17	45704726	45710210	  Hsp90ab1
chr17	17967938	17976035	  Ncrna00085
chr17	32185229	32199807	  Rrp1b
chr19	7568927	7613099	  Atl3
chr17	36949119	36952511	  H2-M10.6
chr18	6435948	6516085	  Epc1
chr18	84181018	84255954	  Tshz1
chr19	6067841	6077187	  1110014N23Rik
chr17	87424900	87435148	  Cript
chr18	12802041	12895561	  Ttc39c
chr18	33955980	34166860	  Epb4.1l4a
chr18	35819669	35821840	  Spata24
chr18	37979199	38001527	  Pcdhgc5
chr17	46910855	46918841	  Rpl7l1
chr18	37979199	38001527	  Pcdhgc5
chr19	43686814	43690382	  Nkx2-3
chr19	3454927	3575749	  Ppp6r3
chr18	5046586	5119291	  Svil
chr18	74375865	74381145	  Cxxc1
chr18	34490798	34496253	  Srp19
chr17	33783177	33822403	  Hnrnpm
chr17	15636851	15654391	  Tbp
chr19	43764178	43808343	  Entpd7
chr17	34075853	34077288	  H2-Ke2
chr19	5133684	5273119	  Pacs1
chr17	35258440	35261760	  Gpank1
chr18	34936661	34999024	  Kdm3b
chr18	32399984	32429801	  Ercc3
chr17	56396215	56403031	  Fem1a
chr17	17539649	17596351	  Lix1
chr19	46576137	46590945	  Trim8
chr19	24168985	24299516	  Tjp2
chr17	87396598	87424741	  Pigf
chr17	34319043	34324275	  Psmb9
chr17	71845439	71876197	  Ndc80
chr19	45081047	45087252	  Peo1
chr19	11171305	11205368	  1700017D01Rik
chr17	89025894	89045064	  Ston1
chr17	17658680	17660187	  LOC100505263
chr17	80637643	80689816	  Dhx57
chr17	21520711	21536229	  Zfp677
chr17	78777224	78817443	  Fez2
chr17	24551619	24563252	  Rnps1
chr18	61889915	61946316	  Afap1l1
chr18	24113188	24123172	  Zfp397
chr17	56326104	56358312	  Dpp9
chr17	34742805	34750394	  Agpat1
chr17	24351998	24357714	  1600002H07Rik
chr19	9004183	9016072	  Eml3
chr18	37303622	37347311	  Pcdhac2
chr18	60535682	60552288	  Iigp1
chr17	27154979	27173322	  Ggnbp1
chr18	37840111	38001524	  Pcdhgb1
chr17	8565260	8615593	  T2
chr18	89037271	89063599	  Socs6
chr18	14784137	14841423	  Ss18
chr18	80403536	80422590	  Txnl4a
chr17	79053303	79135900	  Strn
chr19	46961320	47089679	  Nt5c2
chr19	10599733	10622225	  Cpsf7
chr17	25397455	25410859	  Ube2i
chr18	33098694	33355421	  Camk4
chr17	66132694	66191266	  Ppp4r1
chr18	77303946	77394447	  Pias2
chr18	20405840	20442424	  Dsg1c
chr17	79336474	79347392	  2410091C18Rik
chr17	75404868	75792307	  Ltbp1
chr19	8738494	8758104	  Chrm1
chr17	46440160	46462715	  Abcc10
chr19	4195197	4201603	  Rad9
chr17	15636851	15654391	  Tbp
chr17	15636851	15654391	  Tbp
chr17	35272122	35284267	  Bag6
chr17	28828286	28885350	  Mapk14
chr17	24563627	24576261	  Eci1
chr17	24732881	24769574	  Tsc2
chr18	70727945	70785785	  Mbd2
chr19	29121972	29123219	  1700018L02Rik
chr17	25854116	25856047	  Gng13
chr17	26012444	26014108	  0610011F06Rik
chr19	41003416	41069025	  Blnk
chr18	67647862	67712375	  Spire1
chr17	66843851	66869010	  Rab12
chr19	8946048	8950146	  Ubxn1
chr17	87682225	87781110	  Ttc7
chr17	37407178	37411430	  H2-M3
chr17	80979851	81127433	  Map4k3
chr17	56251023	56256971	  Plin5
chr18	13165498	13181391	  Hrh4
chr17	56148623	56156213	  Mpnd
chr18	47612321	47630522	  9130209A04Rik
chr18	78033288	78121618	  Pstpip2
chr18	37089938	37347311	  Pcdha1
chr17	27054035	27069524	  Kifc5b
chr19	29064983	29092059	  Cdc37l1
chr19	5406873	5422847	  4930481A15Rik
chr19	6057887	6059524	  Fau
chr19	8692485	8702789	  Slc22a6
chr19	4907228	4928287	  Dpp3
chr19	34315580	34329826	  Acta2
chr17	43153503	43226137	  Tnfrsf21
chr19	8848843	8860907	  Taf6l
chr19	54018795	54107768	  Shoc2
chr17	34056422	34066235	  Tapbp
chr18	61123207	61147806	  Camk2a
chr17	34088943	34092586	  Rps18
chr17	34767574	34769205	  Prrt1
chr19	4195197	4201603	  Rad9
chr18	61959045	62071478	  Ablim3
chr17	28828286	28885350	  Mapk14
chr17	26389854	26417675	  Luc7l
chr18	35000242	35007117	  Reep2
chr19	40366529	40525888	  Sorbs1
chr18	77182853	77210910	  Hdhd2
chr17	71323302	71339856	  Myl12b
chr19	36629128	36695625	  Hectd2
chr17	28369698	28438414	  Ppard
chr19	6053629	6057751	  Mrpl49
chr19	5364639	5366645	  Banf1
chr17	37091302	37095373	  Znrd1
chr17	34753606	34764042	  Ppt2
chr17	25377114	25379744	  0610007P22Rik
chr17	46819939	46841951	  Ppp2r5d
chr17	15636851	15654391	  Tbp
chr17	15636851	15654391	  Tbp
chr18	38409902	38422283	  0610009O20Rik
chr17	45823320	45835444	  Mrpl14
chr18	38456458	38477503	  Rnf14
chr19	24550268	24551964	  Fam122a
chr18	56867466	56913078	  Lmnb1
chr18	62911327	62916001	  2700046A07Rik
chr19	44902982	44910428	  1700039E22Rik
chr17	34767574	34769205	  Prrt1
chr17	15612684	15635240	  Psmb1
chr18	61872077	61885985	  Grpel2
chr17	24184686	24210452	  Kctd5
chr19	17507321	17912122	  Pcsk5
chr17	17980289	17992152	  Has1
chr17	44215794	44223516	  Enpp5
chr19	11986888	12019586	  Patl1
chr17	29715760	29733250	  0610038L08Rik
chr17	29070930	29079207	  Pxt1
chr19	47720830	47766532	  Col17a1
chr18	50727309	50728353	  Hdhd1a
chr19	12770279	12794477	  Keg1
chr19	4097350	4099017	  Cdk2ap2
chr17	86384004	86544515	  Srbd1
chr17	21953842	21957164	  Zfp820
chr19	6996915	6999870	  1700019N12Rik
chr17	33130083	33142402	  Zfp952
chr17	80623828	80627837	  Gemin6
chr17	56752817	56753669	  Rpl36
chr18	24364494	24445317	  Galnt1
chr17	34701239	34725488	  Notch4
chr17	7374463	7507664	  Rps6ka2
chr19	46210174	46222815	  Pitx3
chr19	40969194	40992437	  Zfp518a
chr18	67647862	67712375	  Spire1
chr17	88145160	88197334	  Kcnk12
chr18	37979199	38001527	  Pcdhgc5
chr19	41285331	41338494	  Tm9sf3
chr17	46520714	46551766	  Zfp318
chr17	33226311	33247650	  Zfp563
chr19	6335038	6340894	  Men1
chr19	29326317	29387570	  Jak2
chr19	6363689	6378038	  Sf1
chr19	27836210	28057438	  Rfx3
chr18	12913820	13021222	  Osbpl1a
chr18	32536870	32595394	  Bin1
chr17	29751775	29778604	  Rnf8
chr19	12841428	12870613	  Zfp91
chr19	34365148	34402260	  Fas
chr17	15636851	15654391	  Tbp
chr17	32902126	32925232	  Zfp871
chr17	25098170	25152175	  Cramp1l
chr17	34999546	35019045	  C2
chr18	64616203	64648720	  Fech
chr19	4425456	4439424	  Rhod
chr18	65739883	65849097	  Zfp532
chr17	28311259	28314317	  C230013L11Rik
chr19	3896049	3907133	  Tcirg1
chr17	34157736	34161625	  Ring1
chr18	36926181	36942859	  Hars
chr19	10575001	10599699	  Sdhaf2
chr19	34365148	34402260	  Fas
chr17	56418384	56429934	  Plin3
chr17	23873152	23877297	  Paqr4
chr17	56812647	56851192	  Ranbp3
chr17	20983514	20984465	  Vmn1r230
chr19	47575537	47611510	  Obfc1
chr19	58744854	58756278	  Pnlip
chr17	71664795	71689086	  4930471L23Rik
chr18	43887722	43896891	  Spink3
chr18	67777050	67800990	  Cep76
chr19	39585311	39643019	  Cyp2c39
chr17	79451245	79489583	  Qpct
chr17	65986844	65991544	  Txndc2
chr17	72092894	72102225	  BC027072
chr17	29662953	29686538	  Tmem217
chr17	24941326	24976732	  4930528F23Rik
chr19	21852831	21932817	  Tmem2
chr17	36301388	36305482	  Gm8909
chr17	74600039	74694203	  Memo1
chr19	17030607	17298422	  Prune2
chr18	36902019	36904202	  Ndufa2
chr17	13135907	13153591	  Acat2
chr19	6984187	6985518	  Trmt112
chr19	56362427	56394579	  Habp2
chr17	33961558	33975258	  Ndufa7
chr18	7869194	7929025	  Wac
chr17	46339803	46379248	  Xpo5
chr19	8410112	8479595	  Slc22a30
chr18	38096624	38114642	  Hdac3
chr18	67365012	67367541	  Chmp1b
chr17	85357340	85416468	  Ppm1b
chr18	9278604	9282807	  Gjd4
chr18	3294163	3337587	  Crem
chr19	7747564	7785800	  Slc22a19
chr19	46961320	47089679	  Nt5c2
chr17	15636851	15654391	  Tbp
chr19	21727798	21760127	  Fam108b
chr17	33517123	33531582	  Zfp101
chr17	71693828	71824683	  Smchd1
chr17	26014572	26017803	  Wfikkn1
chr17	28046284	28199582	  Anks1
chr19	6116003	6118586	  Sac3d1
chr17	26250260	26260199	  Tmem8
chr17	27693518	27700617	  Hmga1
chr19	34566805	34601964	  Lipa
chr18	62337469	62339613	  Adrb2
chr19	46451303	46470225	  Actr1a
chr17	35068197	35074242	  Neu1
chr19	5460606	5465052	  Fibp
chr17	30142031	30346965	  Zfand3
chr18	32823295	32996941	  4930455D15Rik
chr17	23913884	23923044	  Flywch2
chr17	29455826	29465847	  Pi16
chr17	32320714	32326408	  Ephx3
chr17	34960937	34973848	  Stk19
chr18	10617793	10628228	  Snrpd1
chr19	16207320	16461943	  Gnaq
chr18	75098975	75120917	  Lipg
chr18	46441804	46471582	  Ccdc112
chr17	24340775	24346332	  Ntn3
chr19	12838017	12840122	  Cntf
chr17	35400067	35403675	  H2-L
chr17	35576111	35580715	  H2-Q9
chr18	12287358	12315876	  Riok3
chr17	47573587	47607587	  AI661453
chr19	9041530	9052670	  Eef1g
chr17	33783177	33822403	  Hnrnpm
chr17	8503967	8520307	  Sft2d1
chr19	41986360	41993155	  Pgam1
chr19	6062820	6067850	  Tm7sf2
chr17	74927634	75103113	  Birc6
chr19	5364639	5366645	  Banf1
chr17	25371261	25377061	  Gnptg
chr17	48526209	48549145	  Nfya
chr19	34315580	34329826	  Acta2
chr17	20319041	20320061	  Fpr-rs6
chr17	13163885	13185405	  Wtap
chr18	60685874	60718416	  Dctn4
chr18	36826840	36829965	  Sra1
chr17	26000642	26005683	  Fam195a
chr18	62483857	62627456	  Htr4
chr17	56904173	56909516	  Dus3l
chr17	26125980	26206122	  Rab11fip3
chr17	29090160	29104882	  Kctd20
chr19	6085096	6091773	  Cdca5
chr19	53674885	53720321	  Smc3
chr18	39933150	39935736	  Pabpc2
chr17	44090139	44176465	  Rcan2
chr19	11141960	11155593	  Ms4a8a
chr18	24738381	24762318	  Slc39a6
chr19	10945149	10956233	  Tmem109
chr18	44540153	44584623	  Dcp2
chr17	37362071	37363013	  Olfr96
chr19	7631948	7663035	  Pla2g16
chr18	24263261	24280320	  Ino80c
chr17	26083327	26089510	  A930017K11Rik
chr17	20951458	20952379	  Vmn1r229
chr17	36392617	36394791	  Rpp21
chr17	35031503	35033789	  Zbtb12
chr17	25716118	25799771	  Lmf1
chr18	21159841	21186724	  Rnf138
chr17	25885557	25891272	  Msln
chr18	63868348	64149414	  Wdr7
chr19	4100621	4113961	  Pitpnm1
chr19	8867618	8873047	  Polr2g
chr18	68419837	68459987	  4933403F05Rik
chr17	26125980	26158805	  Rab11fip3
chr17	37147684	37160343	  Mog
chr19	10815436	10860533	  A430093F15Rik
chr18	67624502	67640235	  Slmo1
chr18	82762988	82862126	  Zfp236
chr17	8476677	8490526	  Brp44l
chr17	33061632	33084306	  Cyp4f13
chr19	13961750	13962698	  Olfr1504
chr19	10092717	10110076	  Rab3il1
chr19	7289647	7292106	  Cox8a
chr18	46901570	46950480	  Ap3s1
chr19	23833365	24024087	  Apba1
chr17	3635239	3696261	  Nox3
chr17	13301482	13324657	  Unc93a
chr17	34132956	34137278	  H2-K1
chr18	35721811	35751699	  Matr3
chr18	37979199	38001527	  Pcdhgc5
chr17	55791322	55834617	  Pot1b
chr17	13116824	13133262	  Acat3
chr18	83084023	83174706	  Zfp516
chr18	12802041	12895561	  Ttc39c
chr18	24263261	24280320	  Ino80c
chr17	29469020	29484849	  Mtch1
chr17	37182910	37211250	  Gabbr1
chr17	35818511	35838989	  Ddr1
chr18	58038331	58106475	  Slc12a2
chr18	3294163	3337587	  Crem
chr19	6067841	6077187	  1110014N23Rik
chr19	7070620	7073536	  Trpt1
chr17	35379761	35390652	  Ddx39b
chr18	77303946	77385678	  Pias2
chr18	32091160	32118273	  Lims2
chr18	12348202	12394895	  Npc1
chr17	15636851	15654391	  Tbp
chr18	36953576	36959314	  Zmat2
chr19	5988544	6015825	  Capn1
chr19	56471618	56516834	  Casp7
chr19	11036782	11049160	  Ms4a10
chr17	35607033	35611508	  H2-Q10
chr19	5664634	5688908	  Pcnxl3
chr17	85104586	85190126	  Lrpprc
chr19	43738290	43749371	  Slc25a28
chr17	35253139	35258392	  Csnk2b
chr19	5850973	5875208	  Frmd8
chr19	44213735	44220936	  Bloc1s2
chr17	84230693	84246130	  Haao
chr18	68460008	68484506	  Rnmt
chr17	29169604	29180317	  Srsf3
chr17	23886202	23891032	  9530082P21Rik
chr17	87653782	87665287	  Mcfd2
chr18	89141181	89300406	  Rttn
chr17	36109483	36116412	  Prr3
chr17	29405732	29439832	  BC004004
chr19	5795689	5802671	  Malat1
chr19	10599733	10622225	  Cpsf7
chr18	34490798	34496253	  Srp19
chr18	57705014	57711521	  4930511M06Rik
chr18	90679545	90712659	  Tmx3
chr17	24987434	25001395	  Hagh
chr19	50222149	50753136	  Sorcs1
chr17	79234855	79247648	  Ccdc75
chr17	87832740	87846275	  Calm2
chr19	38598686	38859626	  Plce1
chr18	80930879	81130797	  Atp9b
chr17	45528835	45570656	  Cdc5l
chr19	57107753	57193499	  Ablim1
chr17	90432983	91492142	  Nrxn1
chr18	34739499	34757122	  4933408B17Rik
chr19	46647854	46671391	  Sfxn2
chr17	45722148	45730589	  Slc29a1
chr18	74938865	74965861	  Acaa2
chr19	45824748	45857781	  Mgea5
chr19	59047847	59150559	  4930506M07Rik
chr18	34602004	34666477	  Fam13b
chr17	56156172	56176060	  Sh3gl1
chr17	34781827	34783272	  Fkbpl
chr17	35118798	35122836	  Lsm2
chr17	13159664	13185125	  Wtap
chr18	60973408	61008618	  Tcof1
chr19	9004183	9016072	  Eml3
chr19	10680114	10704312	  Ddb1
chr18	36664580	36675459	  Hbegf
chr17	24837597	24844598	  Tbl3
chr19	29684372	29722910	  Ermp1
chr18	30432549	30507774	  Pik3c3
chr18	77182853	77210910	  Hdhd2
chr19	9016409	9026790	  Mta2
chr18	34701981	34707715	  Wnt8a
chr17	26096500	26102450	  Solh
chr18	35000242	35007117	  Reep2
chr17	37095536	37102568	  Znrd1as
chr17	35165549	35183551	  Msh5
chr17	28468615	28487545	  Tead3
chr19	29095321	29122392	  Ak3
chr18	66140392	66162289	  Lman1
chr17	28465415	28467978	  Rpl10a
chr19	6335038	6340894	  Men1
chr19	5970233	5986143	  Slc22a20
chr19	13604164	13605112	  Olfr1480
chr17	86567124	87057259	  Prkce
chr17	23940153	23961708	  Srrm2
chr17	36166921	36169646	  H2-T23
chr17	46910855	46918841	  Rpl7l1
chr17	22281325	22302944	  Zfp947
chr17	33879428	33897431	  Rab11b
chr17	24312375	24342507	  Tbc1d24
chr17	7374463	7507664	  Rps6ka2
chr19	50222149	50753136	  Sorcs1
chr19	60600598	60656926	  2700078E11Rik
chr19	60837018	60866596	  Eif3a
chr19	7568927	7613099	  Atl3
chr19	6363689	6378038	  Sf1
chr18	70612793	70632134	  4930503L19Rik
chr18	31794036	31882715	  Sap130
chr19	45005608	45058277	  Fam178a
chr18	67385183	67405484	  Mppe1
chr19	27291509	27328721	  Vldlr
chr19	5099206	5106996	  Rab1b
chr19	32560258	32589860	  Minpp1
chr18	9314041	9450148	  Ccny
chr19	10708722	10739700	  Vwce
chr17	72022600	72079009	  Fam179a
chr19	11844904	11849446	  Mrpl16
chr19	5758426	5771401	  Scyl1
chr17	6040570	6079739	  Serac1
chr17	3519255	3557713	  Tfb1m
chr19	8893890	8908632	  Hnrnpul2
chr18	14941753	15058868	  Taf4b
chr17	46804390	46811204	  Rrp36
chr19	11348355	11358303	  Ms4a5
chr19	56394530	56464525	  Nrap
chr18	58038331	58106475	  Slc12a2
chr17	46872661	46889161	  Cnpy3
chr17	45692664	45700118	  Nfkbie
chr19	9158131	9162446	  Scgb1a1
chr18	68419837	68459987	  4933403F05Rik
chr17	25270338	25299044	  Clcn7
chr18	84257549	84266906	  Zadh2
chr19	42221878	42226193	  Marveld1
chr17	65929392	65962895	  Vapa
chr18	57664075	57693406	  1700066O22Rik
chr19	4316143	4397077	  Kdm2a
chr18	80844173	80904912	  Nfatc1
chr17	71323302	71339856	  Myl12b
chr19	12133298	12134240	  Olfr1424
chr19	59294137	59311860	  Kcnk18
chr18	70085212	70129138	  Ccdc68
chr17	79315838	79320388	  1110001A16Rik
chr19	8972600	8991156	  Ganab
chr19	31157330	31161082	  Cstf2t
chr19	4261667	4269172	  Ssh3
chr17	56746874	56749194	  2410015M20Rik
chr17	3231270	3310969	  C530047H08Rik
chr17	66272404	66300527	  Twsg1
chr17	18107421	18108641	  Fpr3
chr17	73186043	73200535	  Ypel5
chr17	24665998	24670692	  Rab26
chr17	37808969	37809935	  Olfr118
chr17	25359526	25371387	  Unkl
chr18	34722294	34738760	  Nme5
chr18	24629371	24636268	  2700062C07Rik
chr17	25919769	25922278	  Haghl
chr18	60535682	60552288	  Iigp1
chr17	31631266	31649432	  Wdr4
chr19	12315210	12316149	  Olfr262
chr17	31657059	31668271	  Ndufv3
chr19	43827512	43843128	  Cutc
chr17	35654060	35667960	  Cchcr1
chr18	34892650	34911187	  Cdc25c
chr17	13159664	13185125	  Wtap
chr17	87653782	87665287	  Mcfd2
chr19	5651184	5663707	  Sipa1
chr17	36997635	37004132	  Trim15
chr18	34380637	34481844	  Apc
chr18	37514924	37517264	  Pcdhb8
chr17	56724404	56745717	  Safb
chr19	8877019	8879344	  Zbtb3
chr18	4634926	4682867	  9430020K01Rik
chr17	56767565	56803879	  Tmem146
chr19	53966720	54004351	  Pdcd4
chr19	42056252	42109131	  Ubtd1
chr17	43705399	43749150	  Pla2g7
chr18	70668333	70689792	  Poli
chr17	35265941	35268697	  Apom
chr19	4611783	4615667	  Lrfn4
chr17	74927634	75103113	  Birc6
chr17	56381138	56382228	  A230051N06Rik
chr18	34918559	34933414	  Fam53c
chr18	61356507	61371250	  Slc26a2
chr19	12194210	12195164	  Olfr76
chr18	56591785	56663446	  Gramd3
chr18	25294537	25327378	  5730494M16Rik
chr19	12648014	12664186	  Fam111a
chr18	37098858	37347315	  Pcdha2
chr18	84377092	84758896	  Zfp407
chr18	9212853	9216199	  Fzd8
chr17	35087179	35089413	  1110038B12Rik
chr19	6241667	6262304	  Atg2a
chr17	15178575	15201196	  2210404J11Rik
chr17	27767373	27772187	  Rps10
chr19	61194033	61195873	  BC029127
chr19	6080761	6084891	  Zfpl1
chr17	74794947	74823569	  Slc30a6
chr19	4878667	4885397	  Zdhhc24
chr19	5050807	5057071	  Rin1
chr18	45719807	45845537	  Kcnn2
chr18	5046586	5119291	  Svil
chr17	75936425	75951286	  Fam98a
chr18	42671140	42735439	  Tcerg1
chr17	35978442	35996615	  Mdc1
chr17	24017842	24019820	  Dcpp1
chr17	29169604	29180317	  Srsf3
chr18	4375589	4397328	  Mtpap
chr18	37979199	38001527	  Pcdhgc5
chr17	79152245	79234721	  Heatr5b
chr18	23573915	23818215	  Dtna
chr18	61959045	62071506	  Ablim3
chr18	61872077	61885985	  Grpel2
chr17	56551848	56615903	  Ptprs
chr19	15979612	15999549	  Psat1
chr17	24873586	24879723	  Sepx1
chr18	64616203	64648720	  Fech
chr17	15636851	15654391	  Tbp
chr17	15636851	15654391	  Tbp
chr17	15636851	15654391	  Tbp
chr18	36894723	36902045	  Tmco6
chr18	25327520	25625822	  AW554918
chr18	54581948	54612948	  9430076G02Rik
chr19	42197764	42203483	  Avpi1
chr18	61290930	61336704	  Hmgxb3
chr17	33879428	33897431	  Rab11b
chr17	59018230	59130798	  2610034M16Rik
chr19	44147823	44181967	  Chuk
chr19	47142237	47157969	  Taf5
chr18	74602272	74931131	  Myo5b
chr17	35818511	35838989	  Ddr1
chr18	59334993	59570990	  Chsy3
chr18	53841376	53904201	  Cep120
chr19	42593294	42666746	  D19Ertd386e
chr19	60274488	60302600	  D19Ertd737e
chr19	15979612	15999112	  Psat1
chr17	80599419	80606645	  Srsf7
chr17	66001065	66122092	  Rab31
chr17	15178575	15201196	  2210404J11Rik
chr17	34272615	34275766	  H2-DMa
chr17	25975782	25981796	  Rhot2
chr17	36281962	36299319	  2410017I17Rik
chr17	21625951	21647441	  Zfp53
chr18	32227387	32263985	  Iws1
chr17	3114971	3198859	  Scaf8
chr18	42035349	42110848	  Prelid2
chr17	43778848	43803964	  Slc25a27
chr17	34987335	34993317	  Rdbp
chr19	42018196	42055626	  Mms19
chr17	44233257	44242757	  Enpp4
chr19	39135495	39168438	  Cyp2c65
chr17	46848411	46862490	  Pex6
chr19	23280930	23348387	  Smc5
chr18	80844173	80904912	  Nfatc1
chr18	80930879	81130797	  Atp9b
chr17	15636851	15654391	  Tbp
chr18	15547902	15562193	  Aqp4
chr19	47142237	47157969	  Taf5
chr19	4594318	4621752	  Pcx
chr18	38998326	39078353	  Fgf1
chr17	37006518	37014778	  Trim10
chr19	45652746	45734683	  Fbxw4
chr19	41003416	41069025	  Blnk
chr17	69506149	69639329	  Epb4.1l3
chr19	10917033	10932405	  Slc15a3
chr17	24857733	24857850	  Snora64
chr19	47654508	47719736	  Slk
chr18	35893331	35900208	  Tmem173
chr19	58803376	58818659	  Pnliprp1
chr17	30729805	30749604	  Glo1
chr19	41348707	41459560	  Pik3ap1
chr17	26852594	26913573	  A930001N09Rik
chr17	29469020	29484849	  Mtch1
chr17	47767638	47821016	  Usp49
chr18	42213363	42318349	  Sh3rf2
chr17	57136761	57138763	  Alkbh7
chr17	85373391	85423332	  Ppm1b
chr18	67825154	67884275	  Ptpn2
chr17	8358382	8389335	  Fgfr1op
chr19	7062400	7066762	  Dnajc4
chr18	46664259	46685625	  Fem1c
chr19	39005479	39042767	  Hells
chr17	46284333	46290500	  Mad2l1bp
chr19	25745623	25746729	  2610016A17Rik
chr19	16689855	16855423	  Vps13a
chr18	65857921	65911191	  5330437I02Rik
chr17	79251889	79281912	  Eif2ak2
chr19	5795689	5802671	  Malat1
chr18	60753643	60783959	  Synpo
chr17	24005038	24010080	  Prss21
chr19	32747052	32786788	  Atad1
chr19	54119671	54123472	  Adra2a
chr17	46819939	46841951	  Ppp2r5d
chr18	21103125	21142349	  Rnf125
chr17	57142824	57150711	  Gtf2f1
chr17	86008429	86017736	  Six3os1
chr18	25327520	25625822	  AW554918
chr19	10273628	10278433	  Fen1
chr19	4800924	4811634	  Rbm14
chr18	67247989	67386446	  Gnal
chr17	72131286	72207691	  Clip4
chr17	35561821	35565306	  H2-Q6
chr17	35400038	35404442	  H2-D1
chr19	9063773	9151409	  Ahnak
chr18	20469373	20501854	  Dsg1a
chr17	36093763	36106695	  Abcf1
chr17	36053855	36069228	  Ppp1r10
chr17	36142639	36157505	  H2-T24
chr19	45438223	45607833	  Btrc
chr17	56148623	56156213	  Mpnd
chr18	36720256	36818562	  Ankhd1
chr17	40948097	40977703	  Rhag
chr17	35137851	35153274	  Vars
chr19	4261667	4269172	  Ssh3
chr18	36894723	36902045	  Tmco6
chr17	47277890	47496407	  Trerf1
chr19	10863828	10904548	  Cd6
chr19	4195197	4201603	  Rad9
chr17	15636851	15654391	  Tbp
chr17	15636851	15654391	  Tbp
chr17	15636851	15654391	  Tbp
chr17	84477999	84489215	  4933433H22Rik
chr18	57115481	57135033	  C330018D20Rik
chr19	42120340	42145429	  Hoga1
chr18	76420774	76471401	  Smad2
chr19	44567961	44588763	  Wnt8b
chr17	25033444	25034476	  Nme3
chr17	25971409	25974072	  Rhbdl1
chr17	27156756	27165571	  Bak1
chr17	25967580	25970306	  Stub1
chr17	47506145	47515628	  Mrps10
chr17	47823593	47825335	  Tomm6
chr17	23712818	23736454	  Zfp13
