Chrom	Start	End	Group	Strand
20	58409943	58853851	AMR	+
20	58895608	59145574	AMR	+
20	59197643	59517318	AMR	+
20	59524177	59678098	AMR	+
20	59746221	60027509	AMR	+
20	60104659	60691071	AMR	+
20	60867781	61171181	AMR	+
20	61307430	61776300	AMR	+
20	61821172	62904542	AMR	+
21	14785633	14818933	UNDEF	+
21	15331478	15725162	UNDEF	+
21	15813998	16513343	AMR	+
21	16537728	16743872	AMR	+
21	16791374	17154602	AMR	+
21	17228150	17747791	AMR	+
21	17757200	18091248	AMR	+
21	18186664	18461843	AMR	+
21	18490111	18966089	AMR	+
21	18986727	19568486	AMR	+
21	19665083	20534594	AMR	+
21	20571807	20827199	AMR	+
21	20871670	21203900	AMR	+
21	21247672	21820408	AMR	+
21	21852488	22387566	AMR	+
21	22423641	23562374	AMR	+
21	23613837	24025851	AMR	+
21	24310275	24909591	AMR	+
21	24998542	26221082	AMR	+
21	26242424	26764171	AMR	+
21	26767468	27054612	AMR	+
21	27167993	27620537	AMR	+
21	27650250	28324568	AMR	+
21	28330838	29436077	AMR	+
21	29486254	30354112	AMR	+
21	30470512	31322913	AMR	+
21	31384543	32089609	AMR	+
21	32216253	32658240	AMR	+
21	32699323	33428049	YRI	+
21	33445029	34277208	YRI	+
21	34320511	34892359	UNDEF	+
21	34952008	35260961	YRI	+
21	35285501	35722995	YRI	+
21	35825662	36793885	YRI	+
21	36816352	37182948	YRI	+
21	37258375	38131869	YRI	+
21	38198459	38712209	YRI	+
21	38796728	39284835	AMR	+
21	39323562	39968482	AMR	+
21	40029090	40252150	AMR	+
21	40281283	40723256	AMR	+
21	40816631	41104545	UNDEF	+
21	41142188	41454053	CEU	+
21	41490748	41833884	CEU	+
21	41843039	42019009	CEU	+
21	42029143	42303256	UNDEF	+
21	42333908	42643729	UNDEF	+
21	42679090	43032724	UNDEF	+
21	43087772	43554456	UNDEF	+
21	43568137	44470086	UNDEF	+
21	44515685	44859819	UNDEF	+
21	44992575	45267193	UNDEF	+
21	45356487	45768350	UNDEF	+
21	45867471	48027880	AMR	+
