Chrom	Start	End	Group
chr21	37747448	37747497	Intermediate
chr20	18467293	18467342	Intermediate
chr19	39221297	39221346	Intermediate
chr19	16990901	16990950	Intermediate
chr19	36526183	36526232	Intermediate
chr19	42585359	42585408	Intermediate
chr21	34963576	34963625	Intermediate
chr19	19039308	19039357	Intermediate
chr19	36037927	36037931	Intermediate
chr19	10370383	10370432	Intermediate
chr20	627643	627692	Intermediate
chr19	47341426	47341475	Intermediate
chr19	1822560	1822609	Intermediate
chr19	41172671	41172720	Classical-nonClassical
chr21	37518627	37518676	Classical-nonClassical
chr20	45838820	45838869	Classical-nonClassical
chr21	43305265	43305314	Classical-nonClassical
chr20	37400638	37400687	Classical-nonClassical
chr19	44111631	44111680	Classical-nonClassical
chr19	39306497	39306526	Classical-nonClassical
chr19	19740401	19740450	Classical-nonClassical
chr19	33617619	33617639	Classical-nonClassical
chr19	12810046	12810095	Classical-nonClassical
chr19	4045643	4045692	Classical-nonClassical
chr19	50243316	50243361	Classical-nonClassical
chr20	60871052	60871101	Classical-nonClassical
chr19	36245057	36245058	Classical-nonClassical
chr19	1267529	1267578	Classical-nonClassical
chr19	42126584	42126592	Classical-nonClassical
chr19	39915849	39915898	Classical-nonClassical
chr19	38798237	38798248	Classical-nonClassical
chr20	33104264	33104266	Classical-nonClassical
chr19	38229328	38229377	Classical-nonClassical
chr19	3765282	3765329	Classical-nonClassical
chr19	14199231	14199280	Classical-nonClassical
chr20	49558568	49558569	Classical-nonClassical
chr21	9916322	9916371	Classical-nonClassical
chr21	33043867	33043916	Classical-nonClassical
chr19	49379202	49379251	Classical-nonClassical
chr19	4838507	4838556	Classical-nonClassical
chr19	11488697	11488746	Classical-nonClassical
chr21	33039674	33039688	Classical-nonClassical
chr21	43522759	43522808	Classical-nonClassical
chr20	57569887	57569936	Classical-nonClassical
chr20	18364343	18364392	Classical-nonClassical
chr20	30193992	30194041	Classical-nonClassical
chr19	41135555	41135604	Classical-nonClassical
chr20	62703576	62703625	Classical-nonClassical
chr19	45496330	45496379	Classical-nonClassical
chr19	40884322	40884371	Classical-nonClassical
chr19	48988559	48988608	Classical-nonClassical
chr19	10501860	10501909	Classical-nonClassical
chr19	33075884	33075917	Classical-nonClassical
chr19	3630320	3630369	Classical-nonClassical
chr20	62219167	62219216	Classical-nonClassical
chr19	47844993	47845042	Classical-nonClassical
chr19	36237705	36237754	Classical-nonClassical
chr19	4443296	4443345	Classical-nonClassical
chr20	34214121	34214170	Classical-nonClassical
chr19	13889184	13889233	Classical-nonClassical
chr19	59063088	59063137	Classical-nonClassical
chr19	52448899	52448948	Classical-nonClassical
chr19	17323853	17323902	Classical-nonClassical
chr19	55903220	55903269	Classical-nonClassical
chr19	685779	685828	Classical-nonClassical
chr20	35945418	35945467	Classical-nonClassical
chr20	24943888	24943937	Classical-nonClassical
chr20	30754781	30754830	Classical-nonClassical
chr19	1272838	1272887	Classical-nonClassical
chr21	48084522	48084571	Classical-nonClassical
chr19	7734707	7734756	Classical-nonClassical
chr20	34634169	34634218	Classical-nonClassical
chr21	45646846	45646895	Classical-nonClassical
chr20	61920913	61920962	Classical-nonClassical
chr21	39673492	39673541	Classical-nonClassical
chr20	42825406	42825455	Classical-nonClassical
chr20	48744655	48744704	Classical-nonClassical
chr19	2754980	2755029	Classical-nonClassical
chr20	25204768	25204793	Classical-nonClassical
chr19	1278916	1278965	Classical-nonClassical
chr21	45403811	45403860	Classical-nonClassical
chr19	36279642	36279691	Classical-nonClassical
chr19	46195152	46195201	Classical-nonClassical
chr19	54660501	54660545	Classical-nonClassical
chr19	23937625	23937668	Classical-nonClassical
chr19	36486441	36486490	Classical-nonClassical
chr20	23969349	23969398	Classical-nonClassical
chr19	33699793	33699842	Classical-nonClassical
chr21	30671815	30671864	Classical-nonClassical
chr20	49200786	49200835	Classical-nonClassical
chr19	5896952	5897001	Classical-nonClassical
chr19	56164432	56164481	Classical-nonClassical
chr21	34131497	34131546	Classical-nonClassical
chr19	49464447	49464496	Classical-nonClassical
chr19	8386961	8386975	Classical-nonClassical
chr19	55602560	55602609	Classical-nonClassical
chr19	12784089	12784130	Classical-nonClassical
chr19	11616924	11616973	Classical-nonClassical
chr19	40477087	40477136	Classical-nonClassical
chr19	18978698	18978747	Classical-nonClassical
chr21	46708009	46708058	Classical-nonClassical
chr19	44126814	44126863	Classical-nonClassical
chr20	20014121	20014170	Classical-nonClassical
chr19	46273078	46273127	Classical-nonClassical
chr19	3209504	3209553	Classical-nonClassical
chr19	549075	549124	Classical-nonClassical
chr20	48508512	48508561	Classical-nonClassical
chr20	16721573	16721622	Classical-nonClassical
chr19	50886030	50886079	Classical-nonClassical
chr19	50189966	50189983	Classical-nonClassical
chr20	35406033	35406082	Classical-nonClassical
chr20	48808976	48809025	Classical-nonClassical
chr20	35865093	35865112	Classical-nonClassical
chr20	62271162	62271211	Classical-nonClassical
chr19	9921153	9921202	Classical-nonClassical
chr19	39123314	39123318	Classical-nonClassical
chr19	13209426	13209475	Classical-nonClassical
chr19	16757165	16757214	Classical-nonClassical
chr21	47966978	47967027	Classical-nonClassical
chr19	49298601	49298650	Classical-nonClassical
chr19	14230476	14230525	Classical-nonClassical
chr19	49121058	49121107	Classical-nonClassical
chr20	33302925	33302974	Classical-nonClassical
chr21	33887377	33887426	Classical-nonClassical
chr19	44636625	44636674	Classical-nonClassical
chr19	33795762	33795811	Classical-nonClassical
chr19	19168665	19168714	Classical-nonClassical
chr20	1459062	1459111	Classical-nonClassical
chr19	2233500	2233549	Classical-nonClassical
chr19	10802902	10802951	Classical-nonClassical
chr19	1576859	1576908	Classical-nonClassical
chr20	23355258	23355307	Classical-nonClassical
chr21	45550724	45550773	Classical-nonClassical
chr21	46934979	46935028	Classical-nonClassical
chr20	62522762	62522811	Classical-nonClassical
chr19	15337850	15337899	Classical-nonClassical
chr19	36395056	36395105	Classical-nonClassical
chr21	30248745	30248794	Classical-nonClassical
chr19	59067088	59067137	Classical-nonClassical
chr19	1985475	1985524	Classical-nonClassical
chr19	50372318	50372367	Classical-nonClassical
chr19	8503666	8503715	Classical-nonClassical
chr19	22786163	22786212	Classical-nonClassical
chr19	48259951	48260000	Classical-nonClassical
chr19	39966928	39966977	Classical-nonClassical
chr19	1473261	1473310	Classical-nonClassical
chr20	62331110	62331159	Classical-nonClassical
chr19	47549880	47549929	Classical-nonClassical
chr19	35660617	35660666	Classical-nonClassical
chr20	23060360	23060409	Classical-nonClassical
chr19	46393361	46393410	Classical-nonClassical
chr19	50029355	50029404	Classical-nonClassical
chr19	5587198	5587247	Classical-nonClassical
chr20	76975	77024	Classical-nonClassical
chr19	6213118	6213167	Classical-nonClassical
chr19	48619144	48619193	Classical-nonClassical
chr20	13370842	13370891	Classical-nonClassical
chr21	18966441	18966490	Classical-nonClassical
chr19	11487323	11487372	Classical-nonClassical
chr20	3904152	3904201	Classical-nonClassical
chr20	46285527	46285576	Classical-nonClassical
chr20	35222121	35222170	Classical-nonClassical
chr19	7541787	7541836	Classical-nonClassical
chr20	31946834	31946883	Classical-nonClassical
chr19	19101889	19101938	Classical-nonClassical
chr19	49471679	49471728	Classical-nonClassical
chr19	8555222	8555233	Classical-nonClassical
chr19	17402957	17403006	Classical-nonClassical
chr19	39926247	39926250	Classical-nonClassical
chr19	58231339	58231388	Classical-nonClassical
chr20	33515709	33515758	Classical-nonClassical
chr19	46286367	46286416	Classical-nonClassical
chr20	55108481	55108530	Classical-nonClassical
chr19	18119055	18119104	Classical-nonClassical
chr19	49136701	49136729	Classical-nonClassical
chr19	33791222	33791271	Classical-nonClassical
chr19	56132165	56132214	Classical-nonClassical
chr19	33873315	33873364	Classical-nonClassical
chr21	38596098	38596147	Classical-nonClassical
chr19	45381836	45381885	Classical-nonClassical
chr21	16334028	16334077	Classical-nonClassical
chr20	10385951	10386000	Classical-nonClassical
chr21	35210586	35210635	Classical-nonClassical
chr19	2478063	2478112	Classical-nonClassical
chr19	47774834	47774883	Classical-nonClassical
chr20	62565302	62565351	Classical-nonClassical
chr19	18543807	18543853	Classical-nonClassical
chr20	62153060	62153109	Classical-nonClassical
chr19	5153321	5153370	Classical-nonClassical
chr19	36605241	36605258	Classical-nonClassical
chr19	39899714	39899763	Classical-nonClassical
chr19	51009454	51009503	Classical-nonClassical
chr19	14588859	14588908	Classical-nonClassical
chr20	42169582	42169631	Classical-nonClassical
chr20	32237437	32237486	Classical-nonClassical
chr20	2639112	2639161	Classical-nonClassical
chr19	5668265	5668314	Classical-nonClassical
chr20	30028430	30028479	Classical-nonClassical
chr19	362229	362278	Classical-nonClassical
chr19	50840791	50840831	Classical-nonClassical
chr19	49793058	49793107	Classical-nonClassical
chr21	35515211	35515260	Classical-nonClassical
chr19	20011857	20011900	Classical-nonClassical
chr19	4816046	4816095	Classical-nonClassical
chr19	32974786	32974835	Classical-nonClassical
chr20	3669802	3669813	Classical-nonClassical
chr21	46225735	46225784	Classical-nonClassical
chr19	6368636	6368685	Classical-nonClassical
chr19	10426964	10427013	Classical-nonClassical
chr19	14072477	14072526	Classical-nonClassical
chr19	1980945	1980994	Classical-nonClassical
chr20	5171703	5171752	Classical-nonClassical
chr19	11040560	11040609	Classical-nonClassical
chr20	37551471	37551520	Classical-nonClassical
chr19	56672012	56672061	Classical-nonClassical
chr19	53452694	53452743	Classical-nonClassical
chr19	35775858	35775907	Classical-nonClassical
chr19	14520272	14520321	Classical-nonClassical
chr19	683134	683183	Classical-nonClassical
chr19	11453495	11453544	Classical-nonClassical
chr19	8468399	8468448	Classical-nonClassical
chr19	41930597	41930646	Classical-nonClassical
chr20	30533043	30533092	Classical-nonClassical
chr19	37676249	37676298	Classical-nonClassical
chr19	49611778	49611827	Classical-nonClassical
chr20	3127492	3127541	Classical-nonClassical
chr20	32256001	32256050	Classical-nonClassical
chr19	2099265	2099314	Classical-nonClassical
chr19	2933595	2933644	Classical-nonClassical
chr19	55111982	55112015	Classical-nonClassical
chr19	42385350	42385399	Classical-nonClassical
chr19	6374968	6375017	Classical-nonClassical
chr19	16275601	16275650	Classical-nonClassical
chr19	6952900	6952949	Classical-nonClassical
chr19	2853619	2853668	Classical-nonClassical
chr19	35517279	35517328	Classical-nonClassical
chr20	4682022	4682071	Classical-nonClassical
chr19	19011190	19011206	Classical-nonClassical
chr19	3976158	3976207	Classical-nonClassical
chr19	3121366	3121415	Classical-nonClassical
chr20	61468614	61468617	Classical-nonClassical
chr19	52115443	52115492	Classical-nonClassical
chr20	62375161	62375210	Classical-nonClassical
chr19	12298736	12298785	Classical-nonClassical
chr19	55692933	55692982	Classical-nonClassical
chr19	15464545	15464594	Classical-nonClassical
chr21	37665749	37665798	Classical-nonClassical
chr19	54598323	54598372	Classical-nonClassical
chr19	49142562	49142584	Classical-nonClassical
chr19	46029886	46029935	Classical-nonClassical
chr19	58992407	58992456	Classical-nonClassical
chr21	40714426	40714475	Classical-nonClassical
chr19	5690528	5690565	Classical-nonClassical
chr20	47862737	47862786	Classical-nonClassical
chr19	58984481	58984530	Classical-nonClassical
chr19	42093016	42093065	Classical-nonClassical
chr20	43380648	43380697	Classical-nonClassical
chr19	1088382	1088431	Classical-nonClassical
chr19	46214082	46214131	Classical-nonClassical
chr19	14519849	14519876	Classical-nonClassical
chr19	47885761	47885810	Classical-nonClassical
chr19	21133427	21133476	Classical-nonClassical
chr19	8327033	8327082	Classical-nonClassical
chr19	21301457	21301506	Classical-nonClassical
chr19	17453405	17453454	Classical-nonClassical
chr20	32245175	32245224	Classical-nonClassical
chr21	27143381	27143430	Classical-nonClassical
chr19	10203832	10203881	Classical-nonClassical
chr21	37417894	37417943	Classical-nonClassical
chr19	10664114	10664163	Classical-nonClassical
chr19	1863040	1863042	Classical-nonClassical
chr19	44047764	44047780	Classical-nonClassical
chr19	1228082	1228131	Classical-nonClassical
chr19	16663099	16663148	Classical-nonClassical
chr19	39875222	39875271	Classical-nonClassical
chr19	41197731	41197780	Classical-nonClassical
chr20	35156769	35156818	Classical-nonClassical
chr19	35770485	35770534	Classical-nonClassical
chr19	35941503	35941552	Classical-nonClassical
chr19	45809836	45809885	Classical-nonClassical
chr20	1920371	1920420	Classical-nonClassical
chr21	45748843	45748892	Classical-nonClassical
chr19	12758257	12758288	Classical-nonClassical
chr20	18297405	18297454	Classical-nonClassical
chr20	60883723	60883772	Classical-nonClassical
chr20	23335196	23335245	Classical-nonClassical
chr21	30301101	30301150	Classical-nonClassical
chr21	45194551	45194600	Classical-nonClassical
chr19	53945704	53945753	Classical-nonClassical
chr21	40823983	40824032	Classical-nonClassical
chr21	34968093	34968142	Classical-nonClassical
chr19	42801456	42801505	Classical-nonClassical
chr19	2732776	2732825	Classical-nonClassical
chr20	39314810	39314859	Classical-nonClassical
chr19	2101319	2101368	Classical-nonClassical
chr20	5918795	5918844	Classical-nonClassical
chr19	48832616	48832665	Classical-nonClassical
chr19	41097051	41097100	Classical-nonClassical
chr21	44323991	44324040	Classical-nonClassical
chr20	62588094	62588143	Classical-nonClassical
chr21	34668571	34668620	Classical-nonClassical
chr19	48886030	48886079	Classical-nonClassical
chr20	44470111	44470160	Classical-nonClassical
chr19	56185990	56186039	Classical-nonClassical
chr20	60777307	60777356	Classical-nonClassical
chr19	48287608	48287657	Classical-nonClassical
chr20	19982830	19982879	Classical-nonClassical
chr20	1532342	1532391	Classical-nonClassical
chr19	38702636	38702685	Classical-nonClassical
chr20	44689889	44689938	Classical-nonClassical
chr20	32441892	32441941	Classical-nonClassical
chr20	55093785	55093834	Classical-nonClassical
chr20	3631234	3631283	Classical-nonClassical
chr20	16253566	16253615	Classical-nonClassical
chr20	44527622	44527671	Classical-nonClassical
chr19	3474614	3474663	Classical-nonClassical
chr20	39807246	39807295	Classical-nonClassical
chr19	14625978	14626027	Classical-nonClassical
chr20	4168271	4168320	Classical-nonClassical
chr19	10596970	10597019	Classical-nonClassical
chr21	32127529	32127578	Classical-nonClassical
chr21	33974618	33974667	Classical-nonClassical
chr19	9960252	9960301	Classical-nonClassical
chr19	12903876	12903925	Classical-nonClassical
chr20	31437834	31437883	Classical-nonClassical
chr19	6466883	6466932	Classical-nonClassical
chr20	44995850	44995899	Classical-nonClassical
chr20	33864404	33864453	Classical-nonClassical
chr20	25278301	25278350	Classical-nonClassical
chr19	583171	583220	Classical-nonClassical
chr19	55378621	55378670	Classical-nonClassical
chr19	41270962	41271011	Classical-nonClassical
chr20	21227139	21227188	Classical-nonClassical
chr19	7979068	7979117	Classical-nonClassical
chr21	43407442	43407491	Classical-nonClassical
chr20	35626311	35626360	Classical-nonClassical
chr19	18685768	18685782	Classical-nonClassical
chr19	17417255	17417304	Classical-nonClassical
chr19	49654096	49654145	Classical-nonClassical
chr19	19312772	19312821	Classical-nonClassical
chr19	54606178	54606196	Classical-nonClassical
chr19	42799607	42799656	Classical-nonClassical
chr19	54720795	54720844	Classical-nonClassical
chr19	3490960	3491009	Classical-nonClassical
chr21	46189083	46189132	Classical-nonClassical
chr19	10580054	10580103	Classical-nonClassical
chr19	4961680	4961729	Classical-nonClassical
chr20	23105784	23105833	Classical-nonClassical
chr19	50986237	50986286	Classical-nonClassical
chr20	56942190	56942239	Classical-nonClassical
chr20	2637526	2637541	Classical-nonClassical
chr20	378009	378058	Classical-nonClassical
chr19	4360441	4360490	Classical-nonClassical
chr19	35629747	35629796	Classical-nonClassical
chr20	48740960	48741009	Classical-nonClassical
chr20	52184393	52184442	Classical-nonClassical
chr20	47649844	47649893	Classical-nonClassical
chr20	61431877	61431926	Classical-nonClassical
chr19	33202731	33202780	Classical-nonClassical
chr19	18679934	18679983	Classical-nonClassical
chr19	36616645	36616694	Classical-nonClassical
chr20	37079444	37079493	Classical-nonClassical
chr19	19756229	19756278	Classical-nonClassical
chr19	46112719	46112768	Classical-nonClassical
chr20	48570220	48570269	Classical-nonClassical
chr21	38123743	38123792	Classical-nonClassical
chr19	11980072	11980121	Classical-nonClassical
chr19	1505458	1505507	Classical-nonClassical
chr19	52795691	52795740	Classical-nonClassical
chr21	46032489	46032538	Classical-nonClassical
chr19	40928568	40928617	Classical-nonClassical
chr20	34541853	34541902	Classical-nonClassical
chr19	46206268	46206317	Classical-nonClassical
chr21	43717164	43717213	Classical-nonClassical
chr19	51633256	51633305	Classical-nonClassical
chr19	4268906	4268955	Classical-nonClassical
chr19	7712633	7712682	Classical-nonClassical
chr19	30314720	30314769	Classical-nonClassical
chr19	59095143	59095192	Classical-nonClassical
chr19	17631848	17631897	Classical-nonClassical
chr19	40953713	40953762	Classical-nonClassical
chr20	3171228	3171277	Classical-nonClassical
chr19	16629042	16629091	Classical-nonClassical
chr19	30506442	30506491	Classical-nonClassical
chr20	34099561	34099610	Classical-nonClassical
chr19	38861370	38861419	Classical-nonClassical
chr20	60962127	60962176	Classical-nonClassical
chr20	32264000	32264049	Classical-nonClassical
chr19	38782773	38782822	Classical-nonClassical
chr19	1925842	1925891	Classical-nonClassical
chr19	41830373	41830422	Classical-nonClassical
chr20	18123356	18123405	Classical-nonClassical
chr19	40947015	40947064	Classical-nonClassical
chr19	46318864	46318913	Classical-nonClassical
chr20	30805448	30805497	Classical-nonClassical
chr19	45452492	45452541	Classical-nonClassical
chr20	62327393	62327442	Classical-nonClassical
chr20	17596092	17596141	Classical-nonClassical
chr19	6751179	6751228	Classical-nonClassical
chr19	6677878	6677927	Classical-nonClassical
chr21	40684767	40684810	Classical-nonClassical
chr19	43979437	43979486	Classical-nonClassical
chr21	46933462	46933511	Classical-nonClassical
chr19	12061064	12061113	Classical-nonClassical
chr19	54710177	54710226	Classical-nonClassical
chr19	36500119	36500168	Classical-nonClassical
chr19	50046782	50046831	Classical-nonClassical
chr19	56114365	56114414	Classical-nonClassical
chr20	17971586	17971635	Classical-nonClassical
chr19	10398770	10398819	Classical-nonClassical
chr20	2462688	2462737	Classical-nonClassical
chr21	47865467	47865516	Classical-nonClassical
chr19	58153899	58153948	Classical-nonClassical
chr19	45541112	45541161	Classical-nonClassical
chr21	43732174	43732223	Classical-nonClassical
chr19	1086414	1086463	Classical-nonClassical
chr19	18054486	18054535	Classical-nonClassical
chr19	50339627	50339663	Classical-nonClassical
chr19	748236	748285	Classical-nonClassical
chr19	10396951	10397000	Classical-nonClassical
chr19	13215789	13215838	Classical-nonClassical
chr20	13797589	13797603	Classical-nonClassical
chr20	34537575	34537624	Classical-nonClassical
chr19	53857439	53857488	Classical-nonClassical
chr19	58724612	58724661	Classical-nonClassical
chr21	30426174	30426223	Classical-nonClassical
chr20	1416653	1416702	Classical-nonClassical
chr19	43993605	43993654	Classical-nonClassical
chr20	60874278	60874327	Classical-nonClassical
chr19	1875033	1875082	Classical-nonClassical
chr19	3464976	3465025	Classical-nonClassical
chr19	15531207	15531256	Classical-nonClassical
chr21	44579409	44579458	Classical-nonClassical
chr20	52520211	52520260	Classical-nonClassical
chr19	48427096	48427145	Classical-nonClassical
chr19	46520545	46520562	Classical-nonClassical
chr19	38400233	38400282	Classical-nonClassical
chr19	42659969	42660018	Classical-nonClassical
chr19	1246400	1246449	Classical-nonClassical
chr20	48555160	48555209	Classical-nonClassical
chr20	23130412	23130461	Classical-nonClassical
chr20	33803323	33803372	Classical-nonClassical
